edge_type_id target_query source_query syn_weight delay dynamics_params model_template
82 node_type_id=='386970660' LGN 0.5170754956 1.7 e2e.json static_synapse
83 node_type_id=='324266189' LGN 0.0 1.7 e2i.json static_synapse
84 node_type_id=='328549885' LGN 0.0 1.7 e2i.json static_synapse
85 node_type_id=='476451456' LGN 0.508220792276 1.7 e2e.json static_synapse
86 node_type_id=='487176969' LGN 0.0 1.7 e2i.json static_synapse
87 node_type_id=='478949560' LGN 3.4757991604000003 1.7 e2i.json static_synapse
88 node_type_id=='480090260' LGN 0.845124636422 1.7 e2e.json static_synapse
89 node_type_id=='518290966' LGN 0.5276515542979999 1.7 e2e.json static_synapse
90 node_type_id=='318556138' LGN 3.55340386204 1.7 e2i.json static_synapse
91 node_type_id=='484659182' LGN 0.8925874056649999 1.7 e2e.json static_synapse
92 node_type_id=='488419491' LGN 0.8784322295710001 1.7 e2e.json static_synapse
93 node_type_id=='507996688' LGN 0.905659377862 1.7 e2e.json static_synapse
94 node_type_id=='479219923' LGN 0.0 1.7 e2i.json static_synapse
95 node_type_id=='480952106' LGN 3.4627221737699996 1.7 e2i.json static_synapse
96 node_type_id=='501848315' LGN 0.500812546007 1.7 e2e.json static_synapse
97 node_type_id=='482809953' LGN 0.521692864502 1.7 e2e.json static_synapse
98 node_type_id=='517645929' LGN 0.863780828975 1.7 e2e.json static_synapse
99 node_type_id=='479492633' LGN 0.889297762473 1.7 e2e.json static_synapse
100 node_type_id=='486146828' LGN 0.49213676748400004 1.7 e2e.json static_synapse
101 node_type_id=='476056333' LGN 0.519514964796 1.7 e2e.json static_synapse
102 node_type_id=='478958894' LGN 1.7810419060900002 1.7 e2i.json static_synapse
103 node_type_id=='517982558' LGN 0.49083761659999997 1.7 e2e.json static_synapse
104 node_type_id=='478412623' LGN 0.0 1.7 e2i.json static_synapse
105 node_type_id=='515305346' LGN 3.46411161989 1.7 e2i.json static_synapse
106 node_type_id=='481093525' LGN 5.06151536988 1.7 e2i.json static_synapse
107 node_type_id=='509003464' LGN 0.777494053175 1.7 e2e.json static_synapse
108 node_type_id=='483018019' LGN 0.534362473571 1.7 e2e.json static_synapse
109 node_type_id=='486176465' LGN 0.880518649887 1.7 e2e.json static_synapse
110 node_type_id=='539742766' LGN 0.779820437291 1.7 e2e.json static_synapse
