edge_type_id target_query source_query syn_weight weight_function weight_sigma delay dynamics_params model_template
50 node_type_id=='480952106' pop_name=='e4Rorb' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
51 node_type_id=='480952106' pop_name=='e4other' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
52 node_type_id=='480952106' pop_name=='i5Pvalb' -1.42370233514 DirectionRule_others 50.0 1.6 i2i.json static_synapse
53 node_type_id=='480952106' pop_name=='i4Pvalb' -1.12460520591 DirectionRule_others 50.0 1.6 i2i.json static_synapse
54 node_type_id=='480952106' pop_name=='i23Sst' -0.0 DirectionRule_others 50.0 1.5 i2i.json static_synapse
55 node_type_id=='480952106' pop_name=='i4Htr3a' -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json static_synapse
56 node_type_id=='480952106' pop_name=='i4Sst' -0.538374832616 DirectionRule_others 50.0 1.5 i2i.json static_synapse
57 node_type_id=='480952106' pop_name=='e4Nr5a1' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
58 node_type_id=='480952106' pop_name=='i1Htr3a' -0.0 DirectionRule_others 50.0 3.8 i2i.json static_synapse
59 node_type_id=='480952106' pop_name=='i5Sst' -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json static_synapse
60 node_type_id=='480952106' pop_name=='e5noRbp4' 2.60214502431 DirectionRule_others 90.0 1.2 e2i.json static_synapse
61 node_type_id=='480952106' pop_name=='i6Sst' -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json static_synapse
62 node_type_id=='480952106' pop_name=='e6Ntsr1' 5.421135467309999 DirectionRule_others 90.0 1.2 e2i.json static_synapse
63 node_type_id=='518290966' pop_name=='e5Rbp4' 9.477674327139999 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
64 node_type_id=='518290966' pop_name=='e23Cux2' 8.48002439798 DirectionRule_EE 30.0 1.6 e2e.json static_synapse
65 node_type_id=='518290966' pop_name=='i6Pvalb' -0.174295311156 DirectionRule_others 90.0 0.9 i2e.json static_synapse
66 node_type_id=='518290966' pop_name=='e4Scnn1a' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
67 node_type_id=='518290966' pop_name=='i23Pvalb' -1.20500462033 DirectionRule_others 90.0 0.9 i2e.json static_synapse
68 node_type_id=='518290966' pop_name=='i6Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
69 node_type_id=='518290966' pop_name=='i5Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
70 node_type_id=='518290966' pop_name=='i23Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
71 node_type_id=='518290966' pop_name=='e4Rorb' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
72 node_type_id=='518290966' pop_name=='e4other' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
73 node_type_id=='518290966' pop_name=='i5Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
74 node_type_id=='518290966' pop_name=='i4Pvalb' -1.3771481375299999 DirectionRule_others 90.0 0.9 i2e.json static_synapse
75 node_type_id=='518290966' pop_name=='i23Sst' -0.6455381894650001 DirectionRule_others 90.0 1.5 i2e.json static_synapse
76 node_type_id=='518290966' pop_name=='i4Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
77 node_type_id=='518290966' pop_name=='i4Sst' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
78 node_type_id=='518290966' pop_name=='e4Nr5a1' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
79 node_type_id=='518290966' pop_name=='i1Htr3a' -0.9037534652500001 DirectionRule_others 90.0 3.8 i2e.json static_synapse
80 node_type_id=='518290966' pop_name=='i5Sst' -0.602502310165 DirectionRule_others 90.0 1.5 i2e.json static_synapse
81 node_type_id=='518290966' pop_name=='e5noRbp4' 9.477674327139999 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
82 node_type_id=='518290966' pop_name=='i6Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
83 node_type_id=='518290966' pop_name=='e6Ntsr1' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
84 node_type_id=='318556138' pop_name=='e5Rbp4' 3.2239157539999996 DirectionRule_others 90.0 1.2 e2i.json static_synapse
85 node_type_id=='318556138' pop_name=='e23Cux2' 3.5463073294 DirectionRule_others 90.0 1.2 e2i.json static_synapse
86 node_type_id=='318556138' pop_name=='i6Pvalb' -1.7638895389700002 DirectionRule_others 50.0 1.6 i2i.json static_synapse
87 node_type_id=='318556138' pop_name=='e4Scnn1a' 3.35824557708 DirectionRule_others 90.0 1.2 e2i.json static_synapse
88 node_type_id=='318556138' pop_name=='i23Pvalb' -1.17098549226 DirectionRule_others 50.0 1.6 i2i.json static_synapse
89 node_type_id=='318556138' pop_name=='i6Htr3a' -0.266806821021 DirectionRule_others 50.0 1.5 i2i.json static_synapse
90 node_type_id=='318556138' pop_name=='i5Htr3a' -0.266806821021 DirectionRule_others 50.0 1.5 i2i.json static_synapse
91 node_type_id=='318556138' pop_name=='i23Htr3a' -0.0 DirectionRule_others 50.0 1.5 i2i.json static_synapse
92 node_type_id=='318556138' pop_name=='e4Rorb' 3.35824557708 DirectionRule_others 90.0 1.2 e2i.json static_synapse
93 node_type_id=='318556138' pop_name=='e4other' 3.35824557708 DirectionRule_others 90.0 1.2 e2i.json static_synapse
94 node_type_id=='318556138' pop_name=='i5Pvalb' -1.7638895389700002 DirectionRule_others 50.0 1.6 i2i.json static_synapse
95 node_type_id=='318556138' pop_name=='i4Pvalb' -1.3933245097799998 DirectionRule_others 50.0 1.6 i2i.json static_synapse
96 node_type_id=='318556138' pop_name=='i23Sst' -0.0 DirectionRule_others 50.0 1.5 i2i.json static_synapse
97 node_type_id=='318556138' pop_name=='i4Htr3a' -0.266806821021 DirectionRule_others 50.0 1.5 i2i.json static_synapse
98 node_type_id=='318556138' pop_name=='i4Sst' -0.667017052552 DirectionRule_others 50.0 1.5 i2i.json static_synapse
99 node_type_id=='318556138' pop_name=='e4Nr5a1' 3.35824557708 DirectionRule_others 90.0 1.2 e2i.json static_synapse
100 node_type_id=='318556138' pop_name=='i1Htr3a' -0.0 DirectionRule_others 50.0 3.8 i2i.json static_synapse
101 node_type_id=='318556138' pop_name=='i5Sst' -0.592904046713 DirectionRule_others 50.0 1.5 i2i.json static_synapse
102 node_type_id=='318556138' pop_name=='e5noRbp4' 3.2239157539999996 DirectionRule_others 90.0 1.2 e2i.json static_synapse
103 node_type_id=='318556138' pop_name=='i6Sst' -0.592904046713 DirectionRule_others 50.0 1.5 i2i.json static_synapse
104 node_type_id=='318556138' pop_name=='e6Ntsr1' 6.716491154169999 DirectionRule_others 90.0 1.2 e2i.json static_synapse
105 node_type_id=='471819401' pop_name=='e5Rbp4' 13.6313509928 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
106 node_type_id=='471819401' pop_name=='e23Cux2' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
107 node_type_id=='471819401' pop_name=='i6Pvalb' -0.095259088115 DirectionRule_others 90.0 0.9 i2e.json static_synapse
108 node_type_id=='471819401' pop_name=='e4Scnn1a' 98.1457271486 DirectionRule_EE 30.0 1.9 e2e.json static_synapse
109 node_type_id=='471819401' pop_name=='i23Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
110 node_type_id=='471819401' pop_name=='i6Htr3a' -0.32929067496500003 DirectionRule_others 90.0 1.5 i2e.json static_synapse
111 node_type_id=='471819401' pop_name=='i5Htr3a' -0.32929067496500003 DirectionRule_others 90.0 1.5 i2e.json static_synapse
112 node_type_id=='471819401' pop_name=='i23Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
113 node_type_id=='471819401' pop_name=='e4Rorb' 98.1457271486 DirectionRule_EE 30.0 1.9 e2e.json static_synapse
114 node_type_id=='471819401' pop_name=='e4other' 98.1457271486 DirectionRule_EE 30.0 1.9 e2e.json static_synapse
115 node_type_id=='471819401' pop_name=='i5Pvalb' -0.9525908811499999 DirectionRule_others 90.0 0.9 i2e.json static_synapse
116 node_type_id=='471819401' pop_name=='i4Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
117 node_type_id=='471819401' pop_name=='i23Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
118 node_type_id=='471819401' pop_name=='i4Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
119 node_type_id=='471819401' pop_name=='i4Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
120 node_type_id=='471819401' pop_name=='e4Nr5a1' 98.1457271486 DirectionRule_EE 30.0 1.9 e2e.json static_synapse
121 node_type_id=='471819401' pop_name=='i1Htr3a' -0.493936012448 DirectionRule_others 90.0 3.8 i2e.json static_synapse
122 node_type_id=='471819401' pop_name=='i5Sst' -0.317530293716 DirectionRule_others 90.0 1.5 i2e.json static_synapse
123 node_type_id=='471819401' pop_name=='e5noRbp4' 13.6313509928 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
124 node_type_id=='471819401' pop_name=='i6Sst' -0.317530293716 DirectionRule_others 90.0 1.5 i2e.json static_synapse
125 node_type_id=='471819401' pop_name=='e6Ntsr1' 32.0336748333 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
126 node_type_id=='517982558' pop_name=='e5Rbp4' 10.4440988666 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
127 node_type_id=='517982558' pop_name=='e23Cux2' 9.3447200385 DirectionRule_EE 30.0 1.6 e2e.json static_synapse
128 node_type_id=='517982558' pop_name=='i6Pvalb' -0.192067948196 DirectionRule_others 90.0 0.9 i2e.json static_synapse
129 node_type_id=='517982558' pop_name=='e4Scnn1a' 13.687266409400001 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
130 node_type_id=='517982558' pop_name=='i23Pvalb' -1.32787717272 DirectionRule_others 90.0 0.9 i2e.json static_synapse
131 node_type_id=='517982558' pop_name=='i6Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
132 node_type_id=='517982558' pop_name=='i5Htr3a' -0.68765067873 DirectionRule_others 90.0 1.5 i2e.json static_synapse
133 node_type_id=='517982558' pop_name=='i23Htr3a' -0.68765067873 DirectionRule_others 90.0 1.5 i2e.json static_synapse
134 node_type_id=='517982558' pop_name=='e4Rorb' 13.687266409400001 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
135 node_type_id=='517982558' pop_name=='e4other' 13.687266409400001 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
136 node_type_id=='517982558' pop_name=='i5Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
137 node_type_id=='517982558' pop_name=='i4Pvalb' -1.51757391167 DirectionRule_others 90.0 0.9 i2e.json static_synapse
