edge_type_id target_query source_query syn_weight delay dynamics_params model_template
181 node_type_id=='482764620' * 0.00164189585339 1.0 e2i.json static_synapse
182 node_type_id=='482773968' * 0.00164189585339 1.0 e2i.json static_synapse
183 node_type_id=='313861608' * 3.26952542255e-19 1.0 e2i.json static_synapse
184 node_type_id=='318556138' * 3.26952542255e-19 1.0 e2i.json static_synapse
185 node_type_id=='336676216' * 3.26952542255e-19 1.0 e2i.json static_synapse
186 node_type_id=='478793814' * 3.26952542255e-19 1.0 e2i.json static_synapse
187 node_type_id=='478949560' * 3.26952542255e-19 1.0 e2i.json static_synapse
188 node_type_id=='480952106' * 3.26952542255e-19 1.0 e2i.json static_synapse
189 node_type_id=='481017021' * 3.26952542255e-19 1.0 e2i.json static_synapse
190 node_type_id=='515305346' * 3.26952542255e-19 1.0 e2i.json static_synapse
191 node_type_id=='464198958' * 0.219652260516 1.0 e2i.json static_synapse
192 node_type_id=='475517090' * 0.219652260516 1.0 e2i.json static_synapse
193 node_type_id=='478396248' * 0.219652260516 1.0 e2i.json static_synapse
194 node_type_id=='478412623' * 0.219652260516 1.0 e2i.json static_synapse
195 node_type_id=='482690728' * 0.219652260516 1.0 e2i.json static_synapse
196 node_type_id=='466632464' * 0.436803582171 1.0 e2e.json static_synapse
197 node_type_id=='471789504' * 0.436803582171 1.0 e2e.json static_synapse
198 node_type_id=='471819401' * 0.436803582171 1.0 e2e.json static_synapse
199 node_type_id=='509003464' * 0.436803582171 1.0 e2e.json static_synapse
200 node_type_id=='539742766' * 0.436803582171 1.0 e2e.json static_synapse
201 node_type_id=='479219923' * 0.219372423606 1.0 e2i.json static_synapse
202 node_type_id=='487176969' * 0.219372423606 1.0 e2i.json static_synapse
203 node_type_id=='471087830' * 2.39334308765e-21 1.0 e2i.json static_synapse
204 node_type_id=='478058328' * 2.39334308765e-21 1.0 e2i.json static_synapse
205 node_type_id=='478828646' * 2.39334308765e-21 1.0 e2i.json static_synapse
206 node_type_id=='481093525' * 2.39334308765e-21 1.0 e2i.json static_synapse
207 node_type_id=='328549885' * 0.315562589751 1.0 e2i.json static_synapse
208 node_type_id=='473564515' * 0.315562589751 1.0 e2i.json static_synapse
209 node_type_id=='476104386' * 0.315562589751 1.0 e2i.json static_synapse
210 node_type_id=='504608602' * 0.315562589751 1.0 e2i.json static_synapse
